"","Folio","Nombre","Fecha","Descripcion","Cantidad","Unidad","ClaveUnidad","ValorUnitario","ClaveProdServ","TipoCambio","Importe","SubTotal","Total","Moneda","Material","Marca","Clave","Unds","Fruta","Embalaje","Precio_real","Unitario_real"
"248",4233,"NAMINSA S.A. DE C.V.",2018-02-23,"CLAMS.3407 125 GRS MORA/ARANDANO 6 OZ 4X4 NG
Blanco",12000,"PIEZAS","H87",0.03923,"24112902",18.6518,470.76,1557.73,1806.96,"USD","CLAMS",NA,"3407",NA,"MIXTO","4.4OZ",0.03923,0.03923
"249",4584,"NAMINSA S.A. DE C.V.",2018-05-04,"CLAMS.3720 ARANDANOS 6 OZ  NP 5X5 900 UNDS",36000,"PIEZAS","H87",0.04615,"24112902",19.0943,1661.4,1661.4,1927.22,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",0.04615,0.04615
"250",3875,"NAMINSA S.A. DE C.V.",2017-12-20,"CLAMS.4004 18 OZ MORA 360 UNDS",14760,"PIEZAS","H87",0.11018,"24112902",19.0289,1626.26,2346.09,2721.46,"USD","CLAMS",NA,"4004",360,"ZARZAMORA","18OZ",0.11018,0.110180216802168
"251",72052,"COOL PAK AG PACKAGING S DE RL DE CV",2017-11-30,"7256187HURSTBLKNAMXPDCV Hursts 12oz Blackberry",48,"Case",NA,69,"0",18.52,3312,3312,3841.92,"USD","CLAMS","HURST",NA,NA,"ZARZAMORA","12OZ",NA,69
"252",832,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV",2017-09-22,"CHAROLA FIGS/HIGOS",1088,"PIEZA",NA,18.27,"0",1,19877.76,19877.76,23058.2,"MXN","CAJAS",NA,NA,NA,NA,NA,18.27,18.27
"253",2460,"International Baskets S.A. de C.V.",2017-12-22,"6 OZ #2 BLACKBERRY ALPASA FARMS",288000,"PIEZAS",NA,0.046,"0",19.2291,13248,13248,15367.68,"USD","CLAMS","ALPASA",NA,NA,"ZARZAMORA","6OZ",0.046,0.046
"254",4380,"NAMINSA S.A. DE C.V.",2018-03-21,"CLAMS.3903 MORA 12 OZ 1 PINTA",15600,"PIEZAS","H87",0.08508,"24112902",18.7216,1327.25,4041.39,4688.01,"USD","CLAMS",NA,"3903",NA,"ZARZAMORA","12OZ",0.08508,0.0850801282051282
"255",12,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-01-04,"TARIMAS PLASTICAS",220,NA,"H87",210,"24112702",NA,46200,63927,74155.32,"MXN","TARIMA",NA,NA,NA,NA,NA,NA,210
"256",870,"AMBROCIO LOPEZ SOTO",2017-09-30,"TARIMAS ARMADAS DE MADERA MEDIDAS: 40"" X 48""  TIPO: BERRIES    C/TT",100,"M3",NA,135,"0",1,13500,13500,15660,"M.N.","TARIMA",NA,NA,NA,NA,NA,NA,135
"257",2255,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2017-10-25,"CHAROLA ALPASA 12/6 OZ, ESTA FACTURA AVALA LA REMISION 11921.",6750,"PIEZA",NA,0.313,"0",19.2009,2112.75,2112.75,2450.79,"USD","CAJAS","ALPASA",NA,NA,NA,"6OZ",0.313,0.313
"258",3745,"NAMINSA S.A. DE C.V.",2017-11-21,"CLAMS.3407 125 GRS MORA/ARANDANO 6 OZ 4X4 NG",24000,"PIEZAS","H87",0.04492,"24112902",19.1224,1078.08,2891.04,3353.6,"USD","CLAMS",NA,"3407",NA,"MIXTO","4.4OZ",0.04492,0.04492
"259",982,"AMBROCIO LOPEZ SOTO",2018-02-27,"TARIMAS ARMADAS DE MADERA",80,"Pieza","H87",154,"24112701",NA,12320,12320,14291.2,"MXN","TARIMA",NA,NA,NA,NA,NA,154,154
"260",3919,"NAMINSA S.A. DE C.V.",2017-12-28,"CLAMS.3407 125 GRS MORA/ARANDANO 6 OZ 4X4 NG",54600,"PIEZAS","H87",0.04072,"24112902",19.7223,2223.31,3306.01,3834.97,"USD","CLAMS",NA,"3407",NA,"MIXTO","4.4OZ",0.04072,0.0407199633699634
"261",420519,"INTERNATIONAL PAPER MEXICO COMPANY S DE RL DE CV",2018-01-18,"CARTON CORRUGADO CAJA 150 GRS BLACK BERRIES 2",20735,"Pieza","H87",0.37,"24112505",18.8362,7568.28,7568.28,8779.2,"USD","CAJAS",NA,NA,NA,"ZARZAMORA","PUNNET",0.37,0.365000241138172
"262",3851,"NAMINSA S.A. DE C.V.",2017-12-15,"PUNNETS 150 GRS MORA 5011",48000,"PIEZAS","H87",0.03576,"24112902",19.1391,1716.48,3207.88,3721.14,"USD","CLAMS","PUNNET","5011",NA,"ZARZAMORA","PUNNET",0.03576,0.03576
"263",2498,"International Baskets S.A. de C.V.",2018-01-05,"6 OZ # 2 BLACKBERRIES- DEL MONTE",43200,"PIEZAS","H87",0.046,"24121807",19.3717,1987.2,6624,7683.84,"USD","CLAMS","DEL MONTE",NA,NA,"ZARZAMORA","6OZ",0.046,0.046
"264",3769,"NAMINSA S.A. DE C.V.",2017-11-23,"CLAMS.3407 125 GRS MORA/ARANDANO 6 OZ 4X4 NG",24000,"PIEZAS","H87",0.04343,"24112902",18.8242,1042.32,1157.52,1342.72,"USD","CLAMS",NA,"3407",NA,"MIXTO","4.4OZ",0.04343,0.04343
"265",965,"CARTONES Y EMPAQUES DE ZAPOPAN SA DE CV",2017-11-29,"SEPARADORCHICO",2500,NA,"E48",2.32,"24141607",NA,5800,6600,7656,"MXN",NA,NA,NA,NA,NA,NA,NA,2.32
"266",4391,"NAMINSA S.A. DE C.V.",2018-03-22,"Clamshell 4x4 3407",24000,"PIEZAS","H87",0.03923,"24112902",18.7614,941.52,2575.22,2987.25,"USD","CLAMS",NA,"3407",NA,NA,"4.4OZ",0.03923,0.03923
"267",4557,"NAMINSA S.A. DE C.V.",2018-05-02,"CLAMS.3903 MORA 12 OZ 1 PINTA",10400,"PIEZAS","H87",0.08508,"24112902",18.6847,884.83,884.83,1026.4,"USD","CLAMS",NA,"3903",NA,"ZARZAMORA","12OZ",0.08508,0.0850798076923077
"268",420442,"INTERNATIONAL PAPER MEXICO COMPANY S DE RL DE CV",2018-01-16,"CARTON CORRUGADO CAJA 12-18 ONZAS",9840,"Pieza","H87",0.88,"24112505",19.0446,8659.2,8659.2,10044.67,"USD","CAJAS",NA,NA,NA,NA,"18OZ",0.88,0.88
"269",222,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-04-07,"CUBIERTAS TERMICAS DE 1.80 MTS",80,NA,"H87",26.5,"13111300",18.11,2120,2120,2459.2,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,NA,26.5
"270",1570,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2017-11-21,"CUBIERTA TERMICA DE 1.80 MTS",20,"PIEZA",NA,26.5,"0",18.97,530,530,614.8,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,26.5,26.5
"271",73369,"COOL PAK AG PACKAGING S DE RL DE CV",2017-12-21,"7256187HURSTBLKNAMXPDCV Hursts 12oz Blackberry",23,"Case",NA,69,"0",19.1202,1587,1587,1840.92,"USD","CLAMS","HURST",NA,NA,"ZARZAMORA","12OZ",NA,69
"272",3680,"NAMINSA S.A. DE C.V.",2017-10-30,"CLAMS. 3705 MORA 6OZ C/PAD PEGADO 600 UNDS",24000,"PIEZAS",NA,0.05062,"0",19.096,1214.88,3115.02,3613.4232,"USD","PADS",NA,"3705",600,"ZARZAMORA","6OZ",0.05062,0.05062
"273",47137,"BIO PAPPEL S.A.B. DE C.V.",2018-04-22,"SEPARADOR  PARTE DE: INTERLOCK PARA CAJA PUNET CAT  1",0.9,"MILLAR","MIL",633.61,"14121500",18.2819,570.25,570.25,661.49,"USD","INTERLOCK","PUNNET",NA,NA,"ZARZAMORA","PUNNET",NA,633.611111111111
"274",2356,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2017-11-24,"CHAROLA ALPASA 12/6 OZ",8100,"PIEZA","H87",0.313,"24121503",18.6041,2535.3,5036.83,5842.72,"USD","CAJAS","ALPASA",NA,NA,NA,"6OZ",0.313,0.313
"275",302,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-05-14,"TARIMAS PLASTICAS",80,NA,"H87",210,"24112702",NA,16800,25013.4,29015.54,"MXN","TARIMA",NA,NA,NA,NA,NA,NA,210
"276",3719,"NAMINSA S.A. DE C.V.",2017-11-09,"CLAMS. 3705 MORA 6OZ C/PAD PEGADO 600 UNDS",19800,"PIEZAS",NA,0.5062,"0",19.1349,10022.76,23729.31,27525.9996,"USD","PADS",NA,"3705",600,"ZARZAMORA","6OZ",0.5062,0.5062
"277",4535,"NAMINSA S.A. DE C.V.",2018-04-25,"CLAMS.4004 18 OZ MORA 360 UNDS
material etiquetado",7200,"PIEZAS","H87",0.11018,"24112902",18.8628,793.3,4070.93,4722.27,"USD","CLAMS",NA,"4004",360,"ZARZAMORA","18OZ",0.11018,0.110180555555556
"278",3775,"NAMINSA S.A. DE C.V.",2017-11-24,"PUNNETS 150 GRS MORA 5011",24000,"PIEZAS","H87",0.03976,"24112902",18.74,954.24,1069.44,1240.55,"USD","CLAMS","PUNNET","5011",NA,"ZARZAMORA","PUNNET",0.03976,0.03976
"279",4069,"NAMINSA S.A. DE C.V.",2018-01-29,"PADS ABSORBENTES 9.5X14 9360 UNDS NEGROS
R. 182 16/01/18",28080,"PIEZAS","H87",0.012,"11162100",18.478,336.96,336.96,390.87,"USD","PADS",NA,NA,9360,NA,NA,0.012,0.012
"280",2561,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2018-01-10,"CHAROLA ALPASA 12/6 OZ",8100,"PIEZA","H87",0.313,"24121503",19.3065,2535.3,3787.3,4393.27,"USD","CAJAS","ALPASA",NA,NA,NA,"6OZ",0.313,0.313
"281",3616,"NAMINSA S.A. DE C.V.",2017-10-05,"CLAMS.4007 ARANDANOS 18OZ 300 UNDS",3600,"PIEZAS",NA,0.10768,"0",18.2113,387.648,387.648,449.67168,"USD","CLAMS",NA,"4007",300,"ARANDANO","18OZ",0.10768,0.10768
"282",896,"AMBROCIO LOPEZ SOTO",2017-11-02,"TARIMAS ARMADAS DE MADERA MEDIDAS: 40"" X 48""  TIPO: BERRIES   C/TT.",120,"M3",NA,135,"0",1,16200,16200,18792,"M.N.","TARIMA",NA,NA,NA,NA,NA,NA,135
"283",4371,"PENPACK S DE RL DE CV",2018-02-12,"6 OZ BB ALPASA CONV",432,"CAJA","XBX",20.86,"13101900",18.52,9011.52,9011.52,10453.36,"USD","CLAMS","ALPASA",NA,NA,NA,"6OZ",NA,20.86
"284",4108,"NAMINSA S.A. DE C.V.",2018-02-02,"CLAMS.3720 ARANDANOS 6 OZ  NP 5X5 900 UNDS
Etiq.",11700,"PIEZAS","H87",0.04818,"24112902",18.6069,563.71,1909.97,2215.56,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",0.04818,0.0481803418803419
"285",4472,"NAMINSA S.A. DE C.V.",2018-04-16,"PUNNETS 150 GRS MORA 5011",240000,"PIEZAS","H87",0.03576,"24112902",18.1353,8582.4,8582.4,9955.58,"USD","CLAMS","PUNNET","5011",NA,"ZARZAMORA","PUNNET",0.03576,0.03576
"286",4922,"PENPACK S DE RL DE CV",2018-04-12,"6OZ ALPASA BLUEBERRIES ALPASA FARMS",288,"CAJA","XBX",20.86,"13101900",18.22,6007.68,9011.52,10453.37,"USD","CLAMS","ALPASA",NA,NA,"ARANDANO","6OZ",NA,20.86
"287",423789,"INTERNATIONAL PAPER MEXICO COMPANY S DE RL DE CV",2018-03-25,"CARTON CORRUGADO CAJA 6 ONZAS 2",26490,"Pieza","H87",0.34,"24112505",18.5078,9086.07,9086.07,10539.84,"USD","CAJAS",NA,NA,NA,NA,"6OZ",0.34,0.343
"288",3839,"NAMINSA S.A. DE C.V.",2017-12-11,"CLAMS.3407 125 GRS MORA/ARANDANO 6 OZ 4X4 NG",24600,"PIEZAS","H87",0.04072,"24112902",18.9315,1001.71,2446.73,2838.21,"USD","CLAMS",NA,"3407",NA,"MIXTO","4.4OZ",0.04072,0.040719918699187
"289",47136,"BIO PAPPEL S.A.B. DE C.V.",2018-04-22,"SEPARADOR  PARTE DE: INTERLOCK GENERICO",1.1,"MILLAR","MIL",800,"14121500",18.2819,880,880,1020.8,"USD","INTERLOCK",NA,NA,NA,NA,NA,NA,800
"290",4680,"NAMINSA S.A. DE C.V.",2018-05-21,"CLAMS.3720 ARANDANOS 6 OZ  NP 5X5 900 UNDS",9000,"PIEZAS","H87",0.04615,"24112902",19.7033,415.35,415.35,481.81,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",0.04615,0.04615
"291",2884,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2018-04-17,"CHAROLA GENERICA ALPASA FARMS 6OZ, ESTA FACTURA AVALA LA REMISION 12303",18900,"PIEZA","H87",0.313,"24121503",18.0394,5915.7,5915.7,6862.21,"USD","CAJAS","ALPASA",NA,NA,NA,"6OZ",0.313,0.313
"292",46010,"BIO PAPPEL S.A.B. DE C.V.",2018-02-16,"EXTERIOR  PARTE DE: CAJA BERRIES 12/4.4 OZ",12,"MILLAR","MIL",340,"14121500",18.6025,4080,4080,4732.8,"USD","CAJAS",NA,NA,NA,NA,"4.4OZ",NA,340
"293",1656,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2017-12-29,"TARIMA PLASTICA 1*120",50,"PIEZA",NA,210,"0",NA,10500,25273,29316.68,NA,"TARIMA",NA,NA,NA,NA,NA,210,210
"294",3739,"Abacart Agricola, S. de P.R. de R.L.",2017-11-30,"BOLSA PLAST NEGRA BAS-JUMBO 90 X 1,500 CMS x kilogramo 6 Pzas",5,"Kilogramos",NA,29.1,"0",1,145.5,302.64,351.06,"MXN","BOLSAS NEGRAS",NA,NA,NA,NA,NA,NA,29.1
"295",420414,"INTERNATIONAL PAPER MEXICO COMPANY S DE RL DE CV",2018-01-16,"CARTON CORRUGADO CAJA 6 ONZAS 2",24000,"Pieza","H87",0.34,"24112505",19.0446,8232,8232,9549.12,"USD","CAJAS",NA,NA,NA,NA,"6OZ",0.34,0.343
"296",161,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-03-08,"TARIMAS PLASTICAS",70,NA,"H87",210,"24112702",NA,14700,30116,34934.56,"MXN","TARIMA",NA,NA,NA,NA,NA,NA,210
"297",422737,"INTERNATIONAL PAPER MEXICO COMPANY S DE RL DE CV",2018-03-02,"CAJA 6 ONZAS 2",26990,"Pieza","H87",0.34,"24112505",18.8331,9257.57,9257.57,10738.78,"USD","CAJAS",NA,NA,NA,NA,"6OZ",0.34,0.343
"298",30,"JESUS AMBROSIO MAGAÑA",2017-12-29,"ZARZAMORA 6 oz",8,"CAJAS","XBX",65,"50304701",NA,520,520,520,"MXN","TARIMA MADERA",NA,NA,NA,"ZARZAMORA","6OZ",NA,65
"299",3584,"NAMINSA S.A. DE C.V.",2017-10-03,"CLAMS. 3832 C18 H60 NP 80 UNDS",2080,"PIEZAS",NA,0.225,"0",18.159,468,468,542.88,"USD","CLAMS",NA,"3832",80,NA,NA,0.225,0.225
"300",2497,"International Baskets S.A. de C.V.",2018-01-05,"6 OZ #2 BLACKBERRY ALPASA FARMS",216000,"PIEZAS","H87",0.046,"24121807",19.3717,9936,13248,15367.68,"USD","CLAMS","ALPASA",NA,NA,"ZARZAMORA","6OZ",0.046,0.046
"301",3589,"NAMINSA S.A. DE C.V.",2017-10-03,"CLAMS. 3705 MORA 6OZ C/PAD PEGADO 600 UNDS",19800,"PIEZAS",NA,0.05062,"0",18.159,1002.276,1002.276,1162.64016,"USD","PADS",NA,"3705",600,"ZARZAMORA","6OZ",0.05062,0.05062
"302",281,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-04-30,"ESQUINEROS PLASTICOS DE 2.00 MTS",300,NA,"H87",6.8,"13102022",NA,2040,6319,7330.04,"MXN","ESQUINERO",NA,NA,NA,NA,NA,NA,6.8
"303",63783,"INTERNATIONAL PAPER MEXICO COMPANY S DE RL DE CV",2018-03-30,"CAJA 150 GRS BLACK BERRIES 1",18170,"Actividad","ACT",0.37,"84111506",18.3445,6632.05,6632.05,7693.18,"USD","CAJAS",NA,NA,NA,"ZARZAMORA","PUNNET",NA,0.365
"304",47134,"BIO PAPPEL S.A.B. DE C.V.",2018-04-22,"SEPARADOR  PARTE DE: INTERLOCK PARA CAJA PUNET CAT  1",0.9,"MILLAR","MIL",633.61,"14121500",18.2819,570.25,9690.65,11241.15,"USD","INTERLOCK","PUNNET",NA,NA,"ZARZAMORA","PUNNET",NA,633.611111111111
"305",77101,"COOL PAK AG PACKAGING S DE RL DE CV",2018-02-23,"CORRGTETRAYBLKGENIP4406OZ 32219 CAJA 6OZ BLK GENERICA",1500,"Each","H87",0.45,"24112505",18.4797,675,675,783,"USD","CAJAS",NA,NA,NA,NA,"6OZ",NA,0.45
"306",290,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-05-05,"BOLSAS DE GEL REFRIGERANTE(20 CAJAS)",1000,NA,"H87",5.4,"78121500",NA,5400,28805.6,33414.5,"MXN","GEL",NA,NA,NA,NA,NA,NA,5.4
"307",55,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-01-22,"ESQUINERO PLASTICO 2.0 MTS",400,NA,"H87",6.8,"13102022",NA,2720,25729,29845.64,"MXN","ESQUINERO",NA,NA,NA,NA,NA,NA,6.8
"308",136,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-02-28,"CUBIERTAS TERMICAS DE 1.80 MTS",40,NA,"H87",26.5,"13111300",18.79,1060,1339.6,1553.94,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,NA,26.5
"309",424589,"INTERNATIONAL PAPER MEXICO COMPANY S DE RL DE CV",2018-04-11,"CAJA 6 ONZAS 2",23690,"Pieza","H87",0.34,"24112505",18.2753,8125.67,8125.67,9425.78,"USD","CAJAS",NA,NA,NA,NA,"6OZ",0.34,0.343
"310",2268,"ALTA TRANSFORMACION DE GUADALAJARA SA DE CV",2017-10-31,"CHAROLA GENERICA ALPASA FARMS 6OZ",5524,"PIEZA",NA,0.313,"0",19.2188,1729.012,4982.22,5779.38,"USD","CAJAS","ALPASA",NA,NA,NA,"6OZ",0.313,0.313
"311",3610,"NAMINSA S.A. DE C.V.",2017-10-04,"CLAMS. 3832 C18 H60 NP 80 UNDS",2000,"PIEZAS",NA,0.225,"0",18.2337,450,450,522,"USD","CLAMS",NA,"3832",80,NA,NA,0.225,0.225
"312",2675,"International Baskets S.A. de C.V.",2018-03-09,"6 OZ #2 BLACKBERRY ALPASA FARMS",72000,"PIEZAS","H87",0.046,"24121807",18.7922,3312,9273.6,10757.38,"USD","CLAMS","ALPASA",NA,NA,"ZARZAMORA","6OZ",0.046,0.046
"313",3778,"Abacart Agricola, S. de P.R. de R.L.",2017-12-13,"ETIQ X PIST GS BCA 8 GS 8 DIG - PAQ C/10 ROLLOS-10,000 ET - USD",50,"PAQUETE",NA,3.42,"0",18.974,171,171,198.36,"USD","TRAZABILIDAD",NA,NA,NA,NA,NA,NA,3.42
"314",135,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-02-28,"TARIMAS PLASTICAS",35,NA,"H87",210,"24112702",NA,7350,14696.25,17047.65,"MXN","TARIMA",NA,NA,NA,NA,NA,NA,210
"315",75618,"COOL PAK AG PACKAGING S DE RL DE CV",2018-01-31,"Nota de Crédito que aplica al Comprobante Fiscal con Folio 32E4CE03-9181-4FF3-A083-7E50761FF39D de Fecha 27/12/2017",1,NA,"ACT",450,"84111506",19.3962,450,450,522,"USD","NOTA DE CREDITO",NA,NA,NA,NA,NA,NA,450
"316",4032,"NAMINSA S.A. DE C.V.",2018-01-23,"CLAMS.3407 125 GRS MORA/ARANDANO 6 OZ 4X4 NG
Blanco",30000,"PIEZAS","H87",0.04072,"24112902",18.5813,1221.6,3963.6,4597.78,"USD","CLAMS",NA,"3407",NA,"MIXTO","4.4OZ",0.04072,0.04072
"317",4921,"PENPACK S DE RL DE CV",2018-04-12,"6 OZ BB ALPASA CONV",360,"CAJA","XBX",20.86,"13101900",18.22,7509.6,9011.52,10453.37,"USD","CLAMS","ALPASA",NA,NA,NA,"6OZ",NA,20.86
"318",21,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-01-08,"TARIMA PLASTICA",50,NA,"H87",210,"24112702",NA,10500,13420,15567.2,"MXN","TARIMA",NA,NA,NA,NA,NA,NA,210
"319",45901,"BIO PAPPEL S.A.B. DE C.V.",2018-02-09,"SEPARADOR  PARTE DE: INTERLOCK PARA CAJA PUNET CAT  1",1,"MILLAR","MIL",633.61,"14121500",18.8815,633.61,1584.8,1838.37,"USD","INTERLOCK","PUNNET",NA,NA,"ZARZAMORA","PUNNET",NA,633.61
"320",1585,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2017-11-28,"CUBIERTA TERMICA DE 1.80 MTS",55,"PIEZA",NA,26.5,"0",18.52,1457.5,2227.85,2584.31,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,26.5,26.5
"321",4163,"NAMINSA S.A. DE C.V.",2018-02-13,"CLAMS.3903 MORA 12 OZ 1 PINTA
Blanco",15600,"PIEZAS","H87",0.08508,"24112902",18.8623,1327.25,1551.89,1800.19,"USD","CLAMS",NA,"3903",NA,"ZARZAMORA","12OZ",0.08508,0.0850801282051282
"322",4025,"Abacart Agricola, S. de P.R. de R.L.",2018-02-16,"ETIQ X PIST GS BCA 8 GS 8 DIG - PAQ C/10 ROLLOS-10,000 ET - USD",100,"PAQUETE","XPK",3.42,"14111537",18.5159,342,342,396.72,"USD","TRAZABILIDAD",NA,NA,NA,NA,NA,NA,3.42
"323",262,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-04-21,"CUBIERTAS TERMICAS DE 1.80 MTS",90,NA,"H87",26.5,"13111300",18.28,2385,2594.7,3009.85,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,NA,26.5
"324",3619,"NAMINSA S.A. DE C.V.",2017-10-05,"CLAMS.3720 ARANDANOS 6 OZ NP 5X5 900 UNDS",18000,"PIEZAS",NA,0.04615,"0",18.2113,830.7,830.7,963.612,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",0.04615,0.04615
"325",291,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-05-05,"CUBIERTAS TERMICAS DE 1.80 MTS",60,NA,"H87",26.5,"13111300",19.12,1590,2009.4,2330.9,"USD","CUBIERTAS TERMICAS",NA,NA,NA,NA,NA,NA,26.5
"326",75622,"COOL PAK AG PACKAGING S DE RL DE CV",2018-01-31,"CORRGTETRAYBLKGENIP4406OZ 32219 CAJA 6OZ BLK GENERICA",1000,"Each","H87",0.45,"24112505",19.3962,450,450,522,"USD","CAJAS",NA,NA,NA,NA,"6OZ",NA,0.45
"327",4286,"NAMINSA S.A. DE C.V.",2018-03-05,"CLAM C/PN 3705A
MATERIAL EN BLANCO",18000,"PIEZAS","H87",0.05062,"24112902",18.861,911.16,2463.05,2857.14,"USD","CLAMS",NA,"3705",NA,NA,NA,0.05062,0.05062
"328",245,"ARELY ALEJANDRA NUÑEZ MARTINEZ",2018-04-16,"TARIMAS PLASTICAS",120,NA,"H87",210,"24112702",NA,25200,47914.6,55580.94,"MXN","TARIMA",NA,NA,NA,NA,NA,NA,210
"329",3958,"NAMINSA S.A. DE C.V.",2018-01-08,"CLAMS.3720 ARANDANOS 6 OZ  NP 5X5 900 UNDS
Sin Etiqueta. R. 146",25200,"PIEZAS","H87",0.04615,"24112902",19.2427,1162.98,1916.61,2223.27,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",0.04615,0.04615
"330",3677,"PENPACK S DE RL DE CV",2017-11-23,"6 OZ BB ALPASA ORG",288,"CAJA",NA,20.868,"0",18.82,6009.98,8263.72,9585.92,"USD","CLAMS","ALPASA",NA,NA,NA,"6OZ",NA,20.8679861111111
"331",2756,"International Baskets S.A. de C.V.",2018-04-23,"6 OZ # 2 BLACKBERRIES- DEL MONTE

REM11721//LOS REYES",201600,"PIEZAS","H87",0.046,"24121807",18.2819,9273.6,9273.6,10757.38,"USD","CLAMS","DEL MONTE",NA,NA,"ZARZAMORA","6OZ",0.046,0.046
"332",3743,"NAMINSA S.A. DE C.V.",2017-11-16,"CLAMS.3407 125 GRS MORA/ARANDANO 6 OZ 4X4 NG",18000,"PIEZAS","H87",0.04343,"24112902",19.1334,781.74,932.94,1082.21,"USD","CLAMS",NA,"3407",NA,"MIXTO","4.4OZ",0.04343,0.04343
"333",4270,"PENPACK S DE RL DE CV",2018-01-29,"6 OZ BB ALPASA CONV",144,"CAJA","XBX",20.86,"13101900",18.48,3003.84,10513.44,12195.59,"USD","CLAMS","ALPASA",NA,NA,NA,"6OZ",NA,20.86
"334",4374,"NAMINSA S.A. DE C.V.",2018-03-20,"CLAMS.3720 ARANDANOS 6 OZ  NP 5X5 900 UNDS",18000,"PIEZAS","H87",0.04818,"24112902",18.7023,867.24,1700.2,1972.23,"USD","CLAMS",NA,"3720",900,"ARANDANO","6OZ",0.04818,0.04818
"335",2001413,"Logistics Interoceanica de Carga SA de CV",2018-04-02,"SEPARADOR PUNNET NEGRA BERRIES 7.9 OZ Y 5.3 OZ",60130,NA,"H87",0.09,"14121500",18.3445,5411.7,5411.7,6277.57,"USD","SEPARADOR PUNNET","PUNNET",NA,NA,"ZARZAMORA","PUNNET",NA,0.09
"336",79165,"COOL PAK AG PACKAGING S DE RL DE CV",2018-03-28,"CORRGTETRAYBSHGENAT6104X4 20150 CAJA 4X4 GENERICA-CH",500,"Each","H87",0.43,"24112505",18.5364,215,215,249.4,"USD","CAJAS",NA,NA,NA,NA,"4.4OZ",NA,0.43
"337",76838,"COOL PAK AG PACKAGING S DE RL DE CV",2018-02-19,"CORRGTETRAYBSHGENAT6104X4 20150 CAJA 4X4 GENERICA-CH",1000,"Each","H87",0.43,"24112505",18.6025,430,430,498.8,"USD","CAJAS",NA,NA,NA,NA,"4.4OZ",NA,0.43
"338",4346,"NAMINSA S.A. DE C.V.",2018-03-15,"CLAMS.4004 18 OZ MORA 360 UNDS",12240,"PIEZAS","H87",0.11118,"24112902",18.5604,1360.84,1360.84,1578.57,"USD","CLAMS",NA,"4004",360,"ZARZAMORA","18OZ",0.11118,0.111179738562091
"339",4543,"NAMINSA S.A. DE C.V.",2018-04-28,"CLAMS.4004 18 OZ MORA 360 UNDS",10080,"PIEZAS","H87",0.11018,"24112902",18.8644,1110.61,6077.24,7049.6,"USD","CLAMS",NA,"4004",360,"ZARZAMORA","18OZ",0.11018,0.110179563492063
"340",426956,"INTERNATIONAL PAPER MEXICO COMPANY S DE RL DE CV",2018-05-25,"CARTON CORRUGADO CAJA 6 ONZAS 2",23850,"Pieza","H87",0.34,"24112505",19.7661,8180.55,8180.55,9489.44,"USD","CAJAS",NA,NA,NA,NA,"6OZ",0.34,0.343
"341",3620,"Abacart Agricola, S. de P.R. de R.L.",2017-10-28,"BOLSA PLAST NEGRA BAS-CHICA 60 X 90 CMS x Kilogramo 18 PZAS",5.58,"KILOGRAMO",NA,29.11,"0",1,162.43,309.73,359.29,"MXN","BOLSAS NEGRAS",NA,NA,NA,NA,NA,NA,29.1093189964158
"342",3795,"NAMINSA S.A. DE C.V.",2017-11-30,"CLAMS.4007 ARANDANOS 18OZ 300 UNDS",8400,"PIEZAS","H87",0.11018,"24112902",18.5848,925.51,925.51,1073.59,"USD","CLAMS",NA,"4007",300,"ARANDANO","18OZ",0.11018,0.110179761904762
